114238551,"Nøtteskrikevegen 4 E, Maura",71 m²,"2 350 000,-"
114422359,"Sangsvanelia 24 D, Maura",80 m²,"3 060 000,-"
114061816,"Mårvegen 17, Sørumsand",90 m²,"3 190 000,-"
95193638,"Odelsveien 20, Jessheim",26 - 38 m²,"1 990 000 - 2 590 000,-"
93372128,"Harstadrøet 100 og 102, Holter",61 m²,"2 400 000 - 2 480 000,-"
102849826,"Sangsvanelia, Maura",66 - 79 m²,"2 650 000 - 3 120 000,-"
71962400,"Fjellhamar Torg, Fjellhamar",72 - 145 m²,"4 350 000 - 9 610 000,-"
104882971,"Sømotunet, Råholt",129 m²,"4 050 000,-"
97116960,"Eikelundveien, Kjeller",142 - 167 m²,"5 890 000 - 7 700 000,-"
112523249,"Artilleriveien 17 - Ski Tårn av Code, Ski",53 - 119 m²,"4 000 000 - 11 500 000,-"
114412417,"Gladbakkgutua 22, Råholt",74 m²,"3 600 000,-"
106576025,"Skårer terrasse 33, Lørenskog",66 m²,"3 000 000,-"
108374290,"Skjellestadjordet 32, Heggedal",214 m²,"6 500 000,-"
114273985,"Martin Linges vei 14, Strømmen",130 m²,"6 900 000,-"
107401084,"Bjerkelundsveien 2, Jar",241 m²,"11 900 000,-"
114298321,"Åråssvingen 9, Kjeller",44 m²,"2 990 000,-"
108956231,"Smedstuvegen 11, Nannestad",75 - 97 m²,"3 540 000 - 5 350 000,-"
112429806,"Bergertunet Sagmoen, Eidsvoll Verk",205 - 211 m²,"5 900 000 - 6 100 000,-"
99017008,"Gislehellinga, Vollen",150 - 271 m²,"9 870 000 - 14 100 000,-"
114334792,"Sverres vei 3, Lørenskog",51 m²,"2 450 000,-"
